city,comprehensive,fiance,credit,influence,operation,intelligence,personnel
安顺,18.02,3.00,3.00,3.01,3.00,3.01,3.00
资阳,18.05,3.01,3.01,3.01,3.01,3.01,3.00
鄂州,18.05,3.01,3.01,3.01,3.01,3.01,3.01
淮北,18.04,3.01,3.01,3.01,3.00,3.01,3.00
毕节,18.02,3.00,3.00,3.00,3.00,3.00,3.00
天水,18.01,3.00,3.00,3.00,3.00,3.00,3.00
安康,18.02,3.00,3.00,3.00,3.00,3.00,3.00
亳州,18.04,3.01,3.01,3.01,3.01,3.01,3.00
普洱,18.02,3.00,3.00,3.01,3.00,3.00,3.00
来宾,18.02,3.00,3.00,3.00,3.00,3.00,3.00
贺州,18.01,3.00,3.00,3.00,3.00,3.00,3.00
哈密,18.00,3.00,3.00,3.00,3.00,3.00,3.00
朔州,18.01,3.00,3.00,3.00,3.00,3.00,3.00
鹤壁,18.04,3.00,3.00,3.01,3.00,3.01,3.00
庆阳,18.01,3.00,3.00,3.00,3.00,3.00,3.00
雅安,18.03,3.00,3.00,3.01,3.00,3.01,3.00
辽源,18.01,3.00,3.00,3.00,3.00,3.00,3.00
河池,18.02,3.00,3.00,3.00,3.00,3.00,3.00
临沧,18.01,3.00,3.00,3.00,3.00,3.00,3.00
武威,18.01,3.00,3.00,3.00,3.00,3.00,3.00
巴中,18.02,3.00,3.00,3.00,3.00,3.00,3.00
平凉,18.01,3.00,3.00,3.00,3.00,3.00,3.00
商洛,18.01,3.00,3.00,3.00,3.00,3.00,3.00
莱芜,18.03,3.00,3.00,3.01,3.00,3.01,3.00
固原,18.00,3.00,3.00,3.00,3.00,3.00,3.00
金昌,18.00,3.00,3.00,3.00,3.00,3.00,3.00
吴忠,18.02,3.00,3.00,3.00,3.00,3.00,3.00
崇左,18.01,3.00,3.00,3.00,3.00,3.00,3.00
白银,18.01,3.00,3.00,3.00,3.00,3.00,3.00
中卫,18.02,3.00,3.00,3.00,3.00,3.00,3.00
铜川,18.02,3.00,3.00,3.00,3.00,3.00,3.00
定西,18.01,3.00,3.00,3.00,3.00,3.00,3.00
海东,18.00,3.00,3.00,3.00,3.00,3.00,3.00
白城,18.01,3.00,3.00,3.00,3.00,3.00,3.00
林芝,18.00,3.00,3.00,3.00,3.00,3.00,3.00
昌都,18.00,3.00,3.00,3.00,3.00,3.00,3.00
山南,18.00,3.00,3.00,3.00,3.00,3.00,3.00
兴安盟,18.01,3.00,3.00,3.00,3.00,3.00,3.00
张家界,18.02,3.00,3.00,3.00,3.00,3.00,3.00
六盘水,18.01,3.00,3.00,3.00,3.00,3.00,3.00
石嘴山,18.01,3.00,3.00,3.00,3.00,3.00,3.00
攀枝花,18.02,3.00,3.00,3.00,3.00,3.00,3.00
塔城,18.00,3.00,3.00,3.00,3.00,3.00,3.00
吐鲁番,18.00,3.00,3.00,3.00,3.00,3.00,3.00
